variable,file_count,year_range,years,first_seen,last_seen,has_gaps,gap_details,mapped_to,in_target_schema,files
PUFC04_SEX,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC04_SEX,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC07_GRADE,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC07_GRADE,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC06_MSTAT,60,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC06_MSTAT,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFHHNUM,59,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFHHNUM,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFPWGTPRV,57,2017-2024,"2017,2018,2019,2020,2021,2022,2023,2024",2017,2024,,,PUFPWGTPRV,YES,2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV;2023-08AUG.CSV;2023-09SEP.CSV;2023-10OCT.CSV;2023-11NOV.CSV;2023-12DEC.CSV;2024-01JAN.CSV;2024-02FEB.CSV;2024-03MAR.CSV;2024-04APR.CSV;2024-07JUL.CSV
SVYYR,45,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFSVYYR,,2005-01JAN.CSV;2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
CEMPST1,45,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFNEWEMPSTAT,,2005-01JAN.CSV;2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
PSU,45,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFPSU,,2005-01JAN.CSV;2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
STRATUM,45,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFPSU,,2005-01JAN.CSV;2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
SVYMO,45,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFSVYMO,,2005-01JAN.CSV;2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
A03_JOBS,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC27_NJOBS,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C06_SEX,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC04_SEX,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C13_WORK,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC11_WORK,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C05_REL,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC03_REL,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C07_AGE,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC05_AGE,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C43_LBEF,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC38_PREVJOB,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C28_OJOB,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC26_OJOB,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C14_JOB,44,2005-2016,"2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2005,2016,,,PUFC12_JOB,,2005-04APR.CSV;2005-07JUL.CSV;2005-10OCT.CSV;2006-01JAN.CSV;2006-04APR.CSV;2006-07JUL.CSV;2006-10OCT.CSV;2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C18_PKB,37,2007-2016,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2007,2016,,,PUFC16_PKB,,2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
C45_POCC,37,2007-2016,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2007,2016,,,PUFC41_POCC,,2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
HHNUM,37,2007-2016,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2007,2016,,,PUFHHNUM,,2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
A09_PQKB,37,2007-2016,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2007,2016,,,PUFC43_QKB,,2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
