target,release,variants_searched,available_variables
PUFHHSIZE,2005-10OCT,"PUFHHSIZE, HHID","A01_HHEAD, A02_CURSCH, A03_JOBS, A04_THOURS, A05_RWM48H, A06_LTLOOKW, A07_WILLING, A08_WPQTR, A09F2_PQKB, A09L2_PQKB, ADJHU, ADJNR, AISDEMPSTAT, ANSODWRKR, ANSOEMPSTAT, ANSOEXPUNEMP, ANSONEWENT, BGY, BWGT, C03_NEWMEM, C04_LNO, C05_REL, C06_SEX, C07_AGE, C08_MSTAT, C09_GRADE, C10_CONWR, C13_WORK, C14_JOB, C16F2_PROCC, C16L2_PROCC, C18F2_PKB, C18L2_PKB, C19_PCLASS, C20_NATEM, C21_PNWHRS, C22_PHOURS, C23_PWMORE, C24_PLADDW, C25_PFWRK, C26_PBASIS, C27_PBASIC, C28_OJOB, C36_OBASIC, C37_AVAIL, C38_LOOKW, C39_JOBSM, C40_WEEKS, C41_FLWRK, C42_WYNOT, C43_LBEF, C45F2_POCC, C45L2_POCC, CAUXINFO, CC101_LNO, CEMPST1, CEMPST2, CEXPUEMP, CFNO, CINTVW, CMBDIED, CMBJOB, CMBMARR, CMBOTHR, CMBOUT, CMBSTUD, CMONTH, CNEWENT, CNEWMEM, COLL_INDNR, CREG, CRLNO, CROTATION, CRPM, CSTR, CSTRRCD, CTHHHU, CUNDEMP, CVUEMP, CYEAR, EA, EAUNIQUE, ESTRATA, FWGT, HCN, MUN, NEWEMPSTAT, NEWEXUNEMP, NEWNEWENT, PROV, PRRCD, PSU, PSU_NO, SECOND_ID, SHSN, STRATUM, SVYMO, SVYYR"
PUFHHSIZE,2006-01JAN,"PUFHHSIZE, HHID","A01_HHEAD, A02_CURSCH, A03_JOBS, A04_THOURS, A05_RWM48H, A06_LTLOOKW, A07_WILLING, A08_WPQTR, A09F2_PQKB, A09L2_PQKB, ADJHU, ADJNR, AISDEMPSTAT, ANSODWRKR, ANSOEMPSTAT, ANSOEXPUNEMP, ANSONEWENT, BGY, BWGT, C03_NEWMEM, C04_LNO, C05_REL, C06_SEX, C07_AGE, C08_MSTAT, C09_GRADE, C10_CONWR, C13_WORK, C14_JOB, C16F2_PROCC, C16L2_PROCC, C18F2_PKB, C18L2_PKB, C19_PCLASS, C20_NATEM, C21_PNWHRS, C22_PHOURS, C23_PWMORE, C24_PLADDW, C25_PFWRK, C26_PBASIS, C27_PBASIC, C28_OJOB, C36_OBASIC, C37_AVAIL, C38_LOOKW, C39_JOBSM, C40_WEEKS, C41_FLWRK, C42_WYNOT, C43_LBEF, C45F2_POCC, C45L2_POCC, CAUXINFO, CC101_LNO, CEMPST1, CEMPST2, CEXPUEMP, CFNO, CINTVW, CMBDIED, CMBJOB, CMBMARR, CMBOTHR, CMBOUT, CMBSTUD, CMONTH, CNEWENT, CNEWMEM, COLL_INDNR, CREG, CRLNO, CROTATION, CRPM, CSTR, CSTRRCD, CTHHHU, CUNDEMP, CVUEMP, CYEAR, EA, EAUNIQUE, ESTRATA, FWGT, HCN, MUN, NEWEMPSTAT, NEWEXUNEMP, NEWNEWENT, PROV, PRRCD, PSU, PSU_NO, SECOND_ID, SHSN, STRATUM, SVYMO, SVYYR"
PUFHHSIZE,2006-04APR,"PUFHHSIZE, HHID","A01_HHEAD, A02_CURSCH, A03_JOBS, A04_THOURS, A05_RWM48H, A06_LTLOOKW, A07_WILLING, A08_WPQTR, A09F2_PQKB, A09L2_PQKB, ADJHU, ADJNR, AISDEMPSTAT, ANSODWRKR, ANSOEMPSTAT, ANSOEXPUNEMP, ANSONEWENT, BGY, BWGT, C03_NEWMEM, C04_LNO, C05_REL, C06_SEX, C07_AGE, C08_MSTAT, C09_GRADE, C10_CONWR, C13_WORK, C14_JOB, C16F2_PROCC, C16L2_PROCC, C18F2_PKB, C18L2_PKB, C19_PCLASS, C20_NATEM, C21_PNWHRS, C22_PHOURS, C23_PWMORE, C24_PLADDW, C25_PFWRK, C26_PBASIS, C27_PBASIC, C28_OJOB, C36_OBASIC, C37_AVAIL, C38_LOOKW, C39_JOBSM, C40_WEEKS, C41_FLWRK, C42_WYNOT, C43_LBEF, C45F2_POCC, C45L2_POCC, CAUXINFO, CC101_LNO, CEMPST1, CEMPST2, CEXPUEMP, CFNO, CINTVW, CMBDIED, CMBJOB, CMBMARR, CMBOTHR, CMBOUT, CMBSTUD, CMONTH, CNEWENT, CNEWMEM, COLL_INDNR, CREG, CRLNO, CROTATION, CRPM, CSTR, CSTRRCD, CTHHHU, CUNDEMP, CVUEMP, CYEAR, EA, EAUNIQUE, ESTRATA, FWGT, HCN, MUN, NEWEMPSTAT, NEWEXUNEMP, NEWNEWENT, PROV, PRRCD, PSU, PSU_NO, SECOND_ID, SHSN, STRATUM, SVYMO, SVYYR"
PUFHHSIZE,2006-07JUL,"PUFHHSIZE, HHID","A01_HHEAD, A02_CURSCH, A03_JOBS, A04_THOURS, A05_RWM48H, A06_LTLOOKW, A07_WILLING, A08_WPQTR, A09F2_PQKB, A09L2_PQKB, ADJHU, ADJNR, AISDEMPSTAT, ANSODWRKR, ANSOEMPSTAT, ANSOEXPUNEMP, ANSONEWENT, BGY, BWGT, C03_NEWMEM, C04_LNO, C05_REL, C06_SEX, C07_AGE, C08_MSTAT, C09_GRADE, C10_CONWR, C13_WORK, C14_JOB, C16F2_PROCC, C16L2_PROCC, C18F2_PKB, C18L2_PKB, C19_PCLASS, C20_NATEM, C21_PNWHRS, C22_PHOURS, C23_PWMORE, C24_PLADDW, C25_PFWRK, C26_PBASIS, C27_PBASIC, C28_OJOB, C36_OBASIC, C37_AVAIL, C38_LOOKW, C39_JOBSM, C40_WEEKS, C41_FLWRK, C42_WYNOT, C43_LBEF, C45F2_POCC, C45L2_POCC, CAUXINFO, CC101_LNO, CEMPST1, CEMPST2, CEXPUEMP, CFNO, CINTVW, CMBDIED, CMBJOB, CMBMARR, CMBOTHR, CMBOUT, CMBSTUD, CMONTH, CNEWENT, CNEWMEM, COLL_INDNR, CREG, CRLNO, CROTATION, CRPM, CSTR, CSTRRCD, CTHHHU, CUNDEMP, CVUEMP, CYEAR, EA, EAUNIQUE, ESTRATA, FWGT, HCN, MUN, NEWEMPSTAT, NEWEXUNEMP, NEWNEWENT, PROV, PRRCD, PSU, PSU_NO, SECOND_ID, SHSN, STRATUM, SVYMO, SVYYR"
PUFHHSIZE,2006-10OCT,"PUFHHSIZE, HHID","A01_HHEAD, A02_CURSCH, A03_JOBS, A04_THOURS, A05_RWM48H, A06_LTLOOKW, A07_WILLING, A08_WPQTR, A09F2_PQKB, A09L2_PQKB, ADJHU, ADJNR, AISDEMPSTAT, ANSODWRKR, ANSOEMPSTAT, ANSOEXPUNEMP, ANSONEWENT, BGY, BWGT, C03_NEWMEM, C04_LNO, C05_REL, C06_SEX, C07_AGE, C08_MSTAT, C09_GRADE, C10_CONWR, C13_WORK, C14_JOB, C16F2_PROCC, C16L2_PROCC, C18F2_PKB, C18L2_PKB, C19_PCLASS, C20_NATEM, C21_PNWHRS, C22_PHOURS, C23_PWMORE, C24_PLADDW, C25_PFWRK, C26_PBASIS, C27_PBASIC, C28_OJOB, C36_OBASIC, C37_AVAIL, C38_LOOKW, C39_JOBSM, C40_WEEKS, C41_FLWRK, C42_WYNOT, C43_LBEF, C45F2_POCC, C45L2_POCC, CAUXINFO, CC101_LNO, CEMPST1, CEMPST2, CEXPUEMP, CFNO, CINTVW, CMBDIED, CMBJOB, CMBMARR, CMBOTHR, CMBOUT, CMBSTUD, CMONTH, CNEWENT, CNEWMEM, COLL_INDNR, CREG, CRLNO, CROTATION, CRPM, CSTR, CSTRRCD, CTHHHU, CUNDEMP, CVUEMP, CYEAR, EA, EAUNIQUE, ESTRATA, FWGT, HCN, MUN, NEWEMPSTAT, NEWEXUNEMP, NEWNEWENT, PROV, PRRCD, PSU, PSU_NO, SECOND_ID, SHSN, STRATUM, SVYMO, SVYYR"
PUFHHSIZE,2007-01JAN,"PUFHHSIZE, HHID","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFHHSIZE,2007-04APR,"PUFHHSIZE, HHID","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFHHSIZE,2007-07JUL,"PUFHHSIZE, HHID","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFHHSIZE,2007-10OCT,"PUFHHSIZE, HHID","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFHHSIZE,2008-01JAN,"PUFHHSIZE, HHID","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
